Location,Household Type,TimeFrame,DataFormat,Data,Fips
Financial District (CD1),All Households,2009,Dollars,125639.99401,101
Financial District (CD1),All Households,2010,Dollars,123927.56932,101
Financial District (CD1),All Households,2011,Dollars,141439.82835,101
Financial District (CD1),All Households,2012,Dollars,119049.11881,101
Financial District (CD1),All Households,2013,Dollars,142617.11397,101
Financial District (CD1),All Households,2014,Dollars,135003.257,101
Financial District (CD1),All Households,2015,Dollars,137034.34957,101
Financial District (CD1),All Households,2016,Dollars,152286.35024,101
Financial District (CD1),All Households,2017,Dollars,157709.94352,101
Financial District (CD1),All Households,2018,Dollars,158255.79521,101
Financial District (CD1),All Households,2019,Dollars,170331.092,101
Financial District (CD1),All Households,2021,Dollars,57565.11553,101
Greenwich Village and Soho (CD2),All Households,2021,Dollars,84977.88447,102
Greenwich Village and Soho (CD2),All Households,2019,Dollars,170331.092,102
Greenwich Village and Soho (CD2),All Households,2018,Dollars,158255.79521,102
Greenwich Village and Soho (CD2),All Households,2017,Dollars,157709.94352,102
Greenwich Village and Soho (CD2),All Households,2016,Dollars,152286.35024,102
Greenwich Village and Soho (CD2),All Households,2015,Dollars,137034.34957,102
Greenwich Village and Soho (CD2),All Households,2014,Dollars,135003.257,102
Greenwich Village and Soho (CD2),All Households,2013,Dollars,142617.11397,102
Greenwich Village and Soho (CD2),All Households,2012,Dollars,119049.11881,102
Greenwich Village and Soho (CD2),All Households,2011,Dollars,141439.82835,102
Greenwich Village and Soho (CD2),All Households,2010,Dollars,123927.56932,102
Greenwich Village and Soho (CD2),All Households,2009,Dollars,125639.99401,102
Lower East Side and Chinatown (CD3),All Households,2009,Dollars,50918.05325,103
Lower East Side and Chinatown (CD3),All Households,2010,Dollars,51350.59262,103
Lower East Side and Chinatown (CD3),All Households,2011,Dollars,46210.48969,103
Lower East Side and Chinatown (CD3),All Households,2012,Dollars,47245.16714,103
Lower East Side and Chinatown (CD3),All Households,2013,Dollars,45675.58024,103
Lower East Side and Chinatown (CD3),All Households,2014,Dollars,46464.30426,103
Lower East Side and Chinatown (CD3),All Households,2015,Dollars,47417.70816,103
Lower East Side and Chinatown (CD3),All Households,2016,Dollars,45734.7397,103
Lower East Side and Chinatown (CD3),All Households,2017,Dollars,43089.98195,103
Lower East Side and Chinatown (CD3),All Households,2018,Dollars,51675.1873,103
Lower East Side and Chinatown (CD3),All Households,2019,Dollars,43401.36936,103
Lower East Side and Chinatown (CD3),All Households,2021,Dollars,49685,103
Chelsea-Village,All Households,2021,Dollars,61873.15741,104
Chelsea-Village,All Households,2019,Dollars,126360.17293,104
Chelsea-Village,All Households,2018,Dollars,107973.5392,104
Chelsea-Village,All Households,2017,Dollars,111013.5269,104
Chelsea-Village,All Households,2016,Dollars,112708.10339,104
Chelsea-Village,All Households,2015,Dollars,114736.76352,104
Chelsea-Village,All Households,2014,Dollars,110708.51164,104
Chelsea-Village,All Households,2013,Dollars,114533.22745,104
Chelsea-Village,All Households,2012,Dollars,99841.37658,104
Chelsea-Village,All Households,2011,Dollars,97973.97884,104
Chelsea-Village,All Households,2010,Dollars,94469.6054,104
Chelsea-Village,All Households,2009,Dollars,100921.5218,104
Stuyvesant Town and Turtle Bay (CD6),All Households,2021,Dollars,117596,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2019,Dollars,162354.24355,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2018,Dollars,144097.88772,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2017,Dollars,122336.83915,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2016,Dollars,122531.63292,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2015,Dollars,119870.279,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2014,Dollars,118643.1402,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2013,Dollars,123003.00713,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2012,Dollars,106962.98435,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2011,Dollars,119824.90188,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2010,Dollars,110579.61904,106
Stuyvesant Town and Turtle Bay (CD6),All Households,2009,Dollars,121822.43599,106
Upper West Side,All Households,2009,Dollars,130542.46426,107
Upper West Side,All Households,2010,Dollars,109221.64501,107
Upper West Side,All Households,2011,Dollars,108747.22257,107
Upper West Side,All Households,2012,Dollars,106254.75816,107
Upper West Side,All Households,2013,Dollars,112983.12802,107
Upper West Side,All Households,2014,Dollars,119267.66646,107
Upper West Side,All Households,2015,Dollars,113349.05402,107
Upper West Side,All Households,2016,Dollars,123496.11683,107
Upper West Side,All Households,2017,Dollars,134867.37629,107
Upper West Side,All Households,2018,Dollars,130130.11963,107
Upper West Side,All Households,2019,Dollars,143685.20263,107
Upper West Side,All Households,2021,Dollars,113828,107
Upper East Side (CD8),All Households,2021,Dollars,130527,108
Upper East Side (CD8),All Households,2019,Dollars,141088.60238,108
Upper East Side (CD8),All Households,2018,Dollars,129997.66297,108
Upper East Side (CD8),All Households,2017,Dollars,142981.58217,108
Upper East Side (CD8),All Households,2016,Dollars,129823.53089,108
Upper East Side (CD8),All Households,2015,Dollars,114935.32825,108
Upper East Side (CD8),All Households,2014,Dollars,129440.92962,108
Upper East Side (CD8),All Households,2013,Dollars,122562.56038,108
Upper East Side (CD8),All Households,2012,Dollars,114942.10127,108
Upper East Side (CD8),All Households,2011,Dollars,124154.25908,108
Upper East Side (CD8),All Households,2010,Dollars,115867.10148,108
Upper East Side (CD8),All Households,2009,Dollars,121965.60984,108
Central Harlem (CD10),All Households,2021,Dollars,45230,110
Central Harlem (CD10),All Households,2019,Dollars,57724.17853,110
Central Harlem (CD10),All Households,2018,Dollars,50961.63047,110
Central Harlem (CD10),All Households,2017,Dollars,53404.18917,110
Central Harlem (CD10),All Households,2016,Dollars,50659.26806,110
Central Harlem (CD10),All Households,2015,Dollars,51652.63407,110
Central Harlem (CD10),All Households,2014,Dollars,45563.45883,110
Central Harlem (CD10),All Households,2013,Dollars,42015.43357,110
Central Harlem (CD10),All Households,2012,Dollars,42633.5963,110
Central Harlem (CD10),All Households,2011,Dollars,41712.39494,110
Central Harlem (CD10),All Households,2010,Dollars,42881.15495,110
Central Harlem (CD10),All Households,2009,Dollars,38847.01624,110
Washington Heights,All Households,2021,Dollars,54717,112
Washington Heights,All Households,2019,Dollars,56226.74617,112
Washington Heights,All Households,2018,Dollars,57677.39661,112
Washington Heights,All Households,2017,Dollars,61375.79229,112
Washington Heights,All Households,2016,Dollars,57748.05837,112
Washington Heights,All Households,2015,Dollars,50828.08559,112
Washington Heights,All Households,2014,Dollars,50722.53995,112
Washington Heights,All Households,2013,Dollars,42635.70097,112
Washington Heights,All Households,2012,Dollars,41964.71602,112
Washington Heights,All Households,2011,Dollars,44344.93675,112
Washington Heights,All Households,2010,Dollars,49963.49315,112
Washington Heights,All Households,2009,Dollars,45781.07411,112
